DIV,BC,N_CELLS,TEMPLATE,CASE,USER,M_TIME,TIME,DELTA_X,L_INF_E_PSI,E_VOL_ALPHA,E_VOL_ALPHA_REL,E_GEOM_ALPHA,E_GEOM_ALPHA_REL,E_BOUND_ALPHA,ELAPSED_CPU_TIME,MAX_CFL,MAX_ABS_SUM_VOL_FLUXES,O(E_VOL_ALPHA),O(E_VOL_ALPHA_REL),O(E_GEOM_ALPHA),O(E_GEOM_ALPHA_REL),O(E_BOUND_ALPHA),O_LOCAL(E_VOL_ALPHA),O_LOCAL(E_VOL_ALPHA_REL),O_LOCAL(E_GEOM_ALPHA),O_LOCAL(E_GEOM_ALPHA_REL),O_LOCAL(E_BOUND_ALPHA)
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.09375,0.03125,0.90443951417,4.19528451004e-05,0.00304973122844,0.0123159058415,0.895295719787,0,2.39,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1015625,0.03125,0.897280161594,4.11450487139e-05,0.00299100906406,0.0133075117257,0.967379780457,0,2.83,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.109375,0.03125,0.890138898824,3.68405783592e-05,0.00267809875652,0.0143045826128,1.03986111549,0,2.97,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1171875,0.03125,0.882971436572,4.4990565629e-05,0.00327055608876,0.0152683962205,1.10992483705,0,3.12,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.125,0.03125,0.870119002073,5.30247172899e-05,0.00385459283658,0.0161839294166,1.17647884959,0,3.25,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1328125,0.03125,0.862984143022,5.18795684791e-05,0.00377134708576,0.0170537702138,1.23971128678,0,3.36,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.140625,0.03125,0.856024409866,4.78458827053e-05,0.00347812126423,0.0178851440973,1.30014739997,0,3.51,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1484375,0.03125,0.845186203177,5.06815856501e-05,0.00368426060483,0.0186480081077,1.35560323831,0,3.64,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.15625,0.03125,0.837221531231,5.75640127267e-05,0.00418457358081,0.0193469891129,1.40641514855,0,3.81,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
linear,explicitGradient,32,3Dtranslation,3Dtranslation_hex_BC-div-source-h_00002_3Dtranslation,julian,2022-12-20_064124,0.1640625,0.03125,0.829609934429,5.4938761437e-05,0.00399373286854,0.0201444082023,1.46438294294,0,3.96,0.25,0.001953125,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,,4.888979645937209,4.918783312154078,-0.01645841522608743,0.013345250997870555,
